rank,pattern_id,used_volume,waste_volume,utilization,total_profit,count_J01,count_J02,count_J03,count_J04,count_J05,count_J06,count_J07,num_pieces,source_method,is_valid
76,1071,3080000,670000,0.8213333333333334,31770,0,4,2,5,7,0,0,18,extreme_point,True
77,786,3070000,680000,0.8186666666666667,31730,0,2,3,1,9,3,0,18,extreme_point,True
78,949,3066000,684000,0.8176,31460,0,3,5,0,7,6,2,23,extreme_point,True
79,897,3064000,686000,0.8170666666666667,31760,1,0,2,2,9,3,0,17,extreme_point,True
80,1146,3064000,686000,0.8170666666666667,31560,1,2,4,2,8,2,0,19,extreme_point,True
81,820,3060000,690000,0.816,31490,0,1,4,3,7,4,0,19,extreme_point,True
82,1019,3060000,690000,0.816,31380,0,3,4,4,6,3,0,20,extreme_point,True
83,910,3056000,694000,0.8149333333333333,31440,0,1,2,2,6,9,2,22,extreme_point,True
84,703,3050000,700000,0.8133333333333334,31550,0,1,1,5,7,3,0,17,extreme_point,True
85,1194,3046000,704000,0.8122666666666667,31770,0,0,3,1,10,1,2,17,ep_alt_weights,True
86,1172,3042000,708000,0.8112,31660,0,0,3,2,8,3,4,20,ep_alt_weights,True
87,946,3040000,710000,0.8106666666666666,31500,0,1,4,0,10,2,0,17,extreme_point,True
88,1361,3038000,712000,0.8101333333333334,31620,0,0,1,0,10,5,1,17,ep_alt_weights,True
89,1459,3038000,712000,0.8101333333333334,31410,2,0,3,1,9,3,0,18,ep_alt_weights,True
90,1414,3036000,714000,0.8096,31640,0,0,0,4,8,3,2,17,ep_alt_weights,True
91,325,3024000,726000,0.8064,34020,0,0,0,0,0,0,63,63,grid,True
92,750,3024000,726000,0.8064,30970,1,3,4,1,7,5,0,21,extreme_point,True
93,862,3022000,728000,0.8058666666666666,31440,0,1,3,2,8,2,4,20,extreme_point,True
94,972,3020000,730000,0.8053333333333333,31180,0,2,2,2,8,4,0,18,extreme_point,True
95,1215,3020000,730000,0.8053333333333333,31330,1,3,2,1,9,1,2,19,ep_alt_weights,True
96,869,3018000,732000,0.8048,31140,0,2,1,0,8,8,1,20,extreme_point,True
97,1024,3018000,732000,0.8048,31020,2,2,1,2,7,6,0,20,extreme_point,True
98,1197,3018000,732000,0.8048,31250,0,0,3,7,6,0,1,17,ep_alt_weights,True
99,1377,3018000,732000,0.8048,31430,0,1,1,3,9,1,1,16,ep_alt_weights,True
100,666,3016000,734000,0.8042666666666667,31390,0,1,0,1,9,5,2,18,extreme_point,True
101,1412,3010000,740000,0.8026666666666666,31290,0,0,1,5,8,1,0,15,ep_alt_weights,True
102,1460,3010000,740000,0.8026666666666666,31220,1,1,1,2,8,4,2,19,ep_alt_weights,True
103,950,3008000,742000,0.8021333333333334,30830,2,3,2,1,7,6,0,21,extreme_point,True
104,1219,3006000,744000,0.8016,31370,1,0,1,3,8,2,4,19,ep_alt_weights,True
105,1353,3004000,746000,0.8010666666666667,31240,0,0,2,2,8,4,3,19,ep_alt_weights,True
106,264,3000000,750000,0.8,30000,0,0,0,0,0,30,0,30,grid,True
107,984,3000000,750000,0.8,31100,1,1,2,2,8,3,2,19,extreme_point,True
108,1052,3000000,750000,0.8,31140,0,0,2,2,9,3,0,16,extreme_point,True
109,1201,3000000,750000,0.8,31070,0,1,2,1,9,4,0,17,ep_alt_weights,True
110,1253,3000000,750000,0.8,30700,0,1,6,0,7,7,0,21,ep_alt_weights,True
111,1100,2998000,752000,0.7994666666666667,30950,0,0,5,1,8,4,1,19,extreme_point,True
112,1092,2994000,756000,0.7984,30850,1,3,1,1,8,5,0,19,extreme_point,True
113,813,2990000,760000,0.7973333333333333,30880,1,1,1,4,6,5,2,20,extreme_point,True
114,907,2990000,760000,0.7973333333333333,30930,0,0,5,1,9,2,0,17,extreme_point,True
115,985,2990000,760000,0.7973333333333333,31020,0,0,3,2,9,2,0,16,extreme_point,True
116,1216,2990000,760000,0.7973333333333333,30840,0,3,3,2,8,2,0,18,ep_alt_weights,True
117,1300,2986000,764000,0.7962666666666667,30990,0,2,3,3,8,0,2,18,ep_alt_weights,True
118,772,2984000,766000,0.7957333333333333,30960,0,0,0,2,7,8,3,20,extreme_point,True
119,818,2984000,766000,0.7957333333333333,31090,0,0,2,3,8,2,3,18,extreme_point,True
120,1102,2976000,774000,0.7936,30810,3,2,2,1,8,2,3,21,extreme_point,True
121,1432,2974000,776000,0.7930666666666667,30560,1,1,3,4,6,4,0,19,ep_alt_weights,True
122,933,2966000,784000,0.7909333333333334,30690,0,1,3,3,7,3,2,19,extreme_point,True
123,627,2964000,786000,0.7904,30630,1,1,4,3,8,0,0,17,extreme_point,True
124,1103,2964000,786000,0.7904,30260,1,4,4,4,5,3,0,21,extreme_point,True
125,582,2960000,790000,0.7893333333333333,30750,1,3,0,3,8,1,2,18,extreme_point,True
126,812,2960000,790000,0.7893333333333333,30820,2,2,0,2,8,2,4,20,extreme_point,True
127,1177,2960000,790000,0.7893333333333333,30560,0,0,4,4,7,2,0,17,ep_alt_weights,True
128,932,2958000,792000,0.7888,30630,2,2,3,1,7,3,5,23,extreme_point,True
129,940,2954000,796000,0.7877333333333333,30460,1,3,3,2,8,1,0,18,extreme_point,True
130,1020,2950000,800000,0.7866666666666666,30490,0,2,5,1,9,0,0,17,extreme_point,True
131,1359,2950000,800000,0.7866666666666666,30590,0,0,1,3,8,4,0,16,ep_alt_weights,True
132,1457,2950000,800000,0.7866666666666666,30480,0,2,1,4,7,3,0,17,ep_alt_weights,True
133,1200,2948000,802000,0.7861333333333334,30710,1,0,2,3,8,1,3,18,ep_alt_weights,True
134,1014,2946000,804000,0.7856,30420,0,0,3,6,5,3,2,19,extreme_point,True
135,870,2942000,808000,0.7845333333333333,30620,1,1,3,2,7,2,6,22,extreme_point,True
136,591,2940000,810000,0.784,30210,0,1,2,3,6,7,0,19,extreme_point,True
137,1297,2940000,810000,0.784,30340,0,1,4,4,7,1,0,17,ep_alt_weights,True
138,1093,2936000,814000,0.7829333333333334,30290,0,1,2,3,6,6,2,20,extreme_point,True
139,652,2930000,820000,0.7813333333333333,30210,0,2,3,1,8,4,0,18,extreme_point,True
140,863,2926000,824000,0.7802666666666667,30160,1,2,3,6,4,2,4,22,extreme_point,True
141,1415,2924000,826000,0.7797333333333333,30360,2,0,0,4,7,3,2,18,ep_alt_weights,True
142,574,2920000,830000,0.7786666666666666,30080,0,2,0,4,6,6,0,18,extreme_point,True
143,986,2920000,830000,0.7786666666666666,30280,0,2,4,0,10,0,0,16,extreme_point,True
144,1452,2920000,830000,0.7786666666666666,30380,0,0,0,2,9,4,0,15,ep_alt_weights,True
145,865,2916000,834000,0.7776,30300,1,0,0,4,6,5,4,20,extreme_point,True
146,1106,2916000,834000,0.7776,30180,2,1,2,2,8,2,1,18,extreme_point,True
147,1179,2916000,834000,0.7776,30460,0,0,0,2,9,3,2,16,ep_alt_weights,True
148,1256,2916000,834000,0.7776,30330,0,1,2,3,8,1,2,17,ep_alt_weights,True
149,575,2914000,836000,0.7770666666666667,29920,1,2,5,2,7,2,0,19,extreme_point,True
150,617,2914000,836000,0.7770666666666667,29910,1,2,1,5,5,5,0,19,extreme_point,True
151,1104,2912000,838000,0.7765333333333333,30380,0,0,0,6,6,2,4,18,extreme_point,True
152,700,2910000,840000,0.776,29970,0,2,5,1,8,2,0,18,extreme_point,True
153,751,2910000,840000,0.776,30190,0,1,1,1,9,4,0,16,extreme_point,True
154,821,2910000,840000,0.776,30260,0,0,1,2,9,3,0,15,extreme_point,True
155,739,2908000,842000,0.7754666666666666,30090,0,1,2,1,8,5,1,18,extreme_point,True
156,1064,2906000,844000,0.7749333333333334,30180,0,0,1,6,6,2,2,17,extreme_point,True
157,628,2904000,846000,0.7744,29840,1,0,4,6,5,2,0,18,extreme_point,True
158,784,2904000,846000,0.7744,29880,1,2,0,6,5,4,0,18,extreme_point,True
159,1217,2904000,846000,0.7744,30140,1,1,0,6,7,0,0,15,ep_alt_weights,True
160,1238,2902000,848000,0.7738666666666667,30040,2,1,1,4,6,3,3,20,ep_alt_weights,True
161,1137,2900000,850000,0.7733333333333333,30230,0,0,0,3,9,2,0,14,extreme_point,True
162,1376,2896000,854000,0.7722666666666667,30130,0,0,4,1,9,1,2,17,ep_alt_weights,True
163,1298,2888000,862000,0.7701333333333333,29670,2,0,2,3,6,6,0,19,ep_alt_weights,True
164,733,2886000,864000,0.7696,30030,0,0,1,7,6,0,2,16,extreme_point,True
165,711,2884000,866000,0.7690666666666667,29910,1,0,2,1,9,3,0,16,extreme_point,True
166,28,2880000,870000,0.768,28080,0,36,0,0,0,0,0,36,grid,True
167,85,2880000,870000,0.768,28160,0,0,32,0,0,0,0,32,grid,True
168,152,2880000,870000,0.768,29600,0,0,0,16,0,0,0,16,grid,True
169,204,2880000,870000,0.768,30240,0,0,0,0,12,0,0,12,grid,True
170,328,2880000,870000,0.768,32400,0,0,0,0,0,0,60,60,grid,True
171,827,2880000,870000,0.768,29530,0,3,4,3,6,3,0,19,extreme_point,True
172,1031,2878000,872000,0.7674666666666666,29770,0,3,1,1,8,4,1,18,extreme_point,True
173,900,2872000,878000,0.7658666666666667,29580,1,2,4,2,7,2,1,19,extreme_point,True
174,1441,2868000,882000,0.7648,29710,2,0,2,3,8,1,0,16,ep_alt_weights,True
175,1061,2862000,888000,0.7632,29680,1,1,1,2,8,3,1,17,extreme_point,True
176,661,2860000,890000,0.7626666666666667,29570,0,2,0,1,8,6,0,17,extreme_point,True
177,1181,2860000,890000,0.7626666666666667,29650,0,0,2,5,7,1,0,15,ep_alt_weights,True
178,626,2856000,894000,0.7616,29800,0,0,4,0,10,0,2,16,extreme_point,True
179,904,2856000,894000,0.7616,29610,0,0,4,1,8,3,2,18,extreme_point,True
180,1255,2856000,894000,0.7616,29790,0,0,0,3,8,3,2,16,ep_alt_weights,True
181,775,2854000,896000,0.7610666666666667,29840,1,1,1,2,8,1,5,19,extreme_point,True
182,1334,2854000,896000,0.7610666666666667,29680,0,2,3,2,8,0,3,18,ep_alt_weights,True
183,1438,2854000,896000,0.7610666666666667,29560,0,1,3,4,6,2,3,19,ep_alt_weights,True
184,1261,2850000,900000,0.76,29640,0,2,1,0,10,2,0,15,ep_alt_weights,True
185,580,2848000,902000,0.7594666666666666,29520,0,0,2,6,6,1,1,16,extreme_point,True
186,587,2848000,902000,0.7594666666666666,29550,0,0,0,1,8,7,1,17,extreme_point,True
187,742,2848000,902000,0.7594666666666666,29420,2,2,2,2,8,1,0,17,extreme_point,True
188,906,2832000,918000,0.7552,29630,0,0,2,3,8,0,4,17,extreme_point,True
189,1135,2830000,920000,0.7546666666666667,29580,1,1,1,4,6,1,7,21,extreme_point,True
190,1178,2828000,922000,0.7541333333333333,29210,2,1,0,3,7,4,0,17,ep_alt_weights,True
