seed,problem_name,objective_value,material_utilization,total_profit,total_waste_volume,runtime
20260528,problem1,750000,0.9900990099009901,733000,750000,0.8153777122497559
42,problem1,750000,0.9900990099009901,733000,750000,0.9851665496826172
12345,problem1,750000,0.9900990099009901,733000,750000,1.9431960582733154
99999,problem1,750000,0.9900990099009901,733000,750000,2.0799810886383057
77777,problem1,750000,0.9900990099009901,733000,750000,2.194887399673462
