experiment_name,problem_name,status,total_profit,total_used_volume,total_waste_volume,material_utilization,gap_metric,total_runtime,pattern_generation_time,master_solve_time,total_patterns_generated,num_patterns_used
only_grid_patterns,problem1,OPTIMAL,733000,0,750000,0.9900990099009901,0.00990099009900991,0.048705339431762695,0,0.03337883949279785,145,0
legacy_greedy_without_extreme_points,problem1,OPTIMAL,733000,0,750000,0.9900990099009901,0.00990099009900991,90.65609931945801,0,0.011039018630981445,148,0
improved_greedy_without_extreme_points,problem1,OPTIMAL,733000,0,750000,0.9900990099009901,0.00990099009900991,0.13714146614074707,0,0.011337518692016602,147,0
extreme_points_without_random_restart,problem1,OPTIMAL,733000,0,750000,0.9900990099009901,0.00990099009900991,86.94128561019897,0,0.010670185089111328,151,0
full_hybrid_solver,problem1,OPTIMAL,733000,0,750000,0.9900990099009901,0.00990099009900991,76.6139485836029,0,0.010568380355834961,178,0
